"node","maccs"
"701363","0000000000000000000000000000000000000000000000000000000000000100010000000100000000000000000000000000000000000001100000000000101000100000001000111000110100001011011110"
"701436","0000000000000000000000000000000000000000000000000000000000000000000000010000000001000100001000000000000100011000111101000000011110010000011000100110000110101011011110"
"702379","0000000000000000000000000000000000000011000000010010001001111001101010001000000010000001000000100100010011000001100000001001101001100001101100101101000100011010111111"
"702752","0000000000000000000000000000000000000011000000010010001001111001001010001000000010000001000000000000010001010001011101000001000111000001001000000111100000100011011110"
"702764","0000000000000000000000000000100000000000000000010000000000000000000000000001000000000000100010000010010001000001000000000011010001000001000110000101100101001011000100"
"703136","0000000001000000000000000000000000000011000100011010001001111001001000001000000010000001000000000000010001010001011101000001100111000001000110001111100000100011011111"
"703137","0000000000000000000000000000000000000000000000000000100000000000000000010000000001000000110000000010000000011000011101000010010110110000011100000110000111101011000100"
"703344","0000000000000000000000000000000000100011000100011010001001111001001000001000000010000001000000000000010001010001011101000001000111000001000000000111100000100011011111"
"703347","0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000100000000000000000011000110000000001011010"
"704109","0000000000000000000000000000000000000000010000000000000000000000000000000000000000000010000000000000001000100000000001000000000000010100000000000010000111100000011110"
"704111","0000000000100000000000000000000000000000000000000000000000000000000000000000000000000000011000000000000000000000000000000010000000000000001000000010000001001010000110"
"704113","0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000010000000100000000000111000000000000000101000000101001011011110"
"704121","0000000000000000000000000000000000000000100000000000000000000000000000000000000000000010000000000000001000100000000000000000000000000100000000010000010000000000111010"
"704123","0000000000000000000000000000000000000000000000000100000000000000000000000001000000000000100000000010000000001000010000000010010000000001010110000100100011101011000100"
"704130","0000000000000000000000000000000000000000000000000000010000000000000000010000000000000000101000000000000000001000010000000010010000100001011100000100100111101011000100"
"704132","0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000100000000000000000000000000100000000000000000001000001011110"
"704135","0000000000000000000000000000000000000000000000000000010000000000000000010000000001010000110000001000000100001000000000000010010000111010011100010100011111111110111110"
"704137","0000000000000000000000000000000000000000000000000000000000000000010000000100000001010000011100010001000110010111000111000000100000100000000001011010101011110101111110"
"704138","0000000000000000000000000000000110000000000000000011001001111001001010001010000010110111000101110001111111100111000010001101000111101101110001011111011011010110111110"
"704141","0000000000000000000100000000000000000000001000000000000000000000000010000100000000000100000010000000010000000000000000000001010001100000000010000001100000000001000100"
"704142","0000000000000000000000000000000000001000000000000000000000000100000000000110101000101110000010010001001001100110001111011100001110001110110001100011110011110101111110"
"704143","0000000000000000000000000000000000000000000000000000000000000000000000000100000000010000000000000000000000000000000000000000000000001010000000010000111000010101111010"
"704145","0000000000000000000000000000000000010000000000000010001001111000001000001000000010100001000000010100010110000001001000010001001001010001101000110101010100001011011110"
"704146","0000000100100000001000000000000000010000000000100000000000000000010000000100001010101001000100111000000110011111100010011110111000011001100111101101111111111111111110"
"704147","0000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000110000001000110010110100110000000111000000000000000101010101111111111111110"
"704148","0000000000000000000000000000000000010000000000100000000010000100100000000000000010100001111100110000000001010110000110011000101000010001100101111110011101110111111110"
"704149","0000000000000100000000000000000000000100000010000000000000000000101000000001100111011001010010000111000100011100000111011111010110111011111111010111111011111111111110"
"704152","0000000000000000000000000000000000000000000000000000000000000000000000000000000000010010000000001000001000100000000000000000100000001110000000011000011101010100111110"
"704154","0000000000000000000000000000000000000100010000000000000010000100100000100000101000100000000101111000010001111101100011011001011001010100100011110110110110111011111110"
"704163","0000000000000000000000000000000000000000000000000000000000000000000000000010000000001100000000001101000000011010101101001110011110010000110000101111010111111111111110"
"704164","0000000000000000001000000000000000000000000000000000000000000000000000000110000100001100000110000001000010010110000111001100100000001011100011011011111011010111111110"
"704165","0000000000000000000000000000000000000000000000000000000000000000010000010100000000000010100000000000001000111001100001000010111000010101010110101110100111101011011110"
"704166","0000000000000000000000000000000000000100000000000000000000000000100000000000101000010010000010101100001000100000000000011010010000001110100001010000011001011111111110"
"704167","0000000000000000000000000000000000000000000000000000000000000000010000000100000000000000000000000000000000010001001000000000000100000000000010000000100000100001000000"
"704170","0000000000000000000000000000000000000000000000000000000000000000000000000100000000001100000010000001001000000010001100000100000000000100010000000011100010100101100001"
"704173","0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000100000000000000000000000000100000000000000000101000000011110"
"704176","0000000000000000000000000000000000000000000000000000000000100001100000000010101010101011000000110001001000101000000000011100110010010100110001011001010110101100111110"
"704177","0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000011000011101000010010110000000000000000010100011101011000100"
"704178","0000000000000000000000000000000000000000000000000000000000000000100000000010101000101000000000111000000000001000011000011110010000010000100001010011110011111111111110"
"704182","0000000000000000000000000000000000000000000010000000000000000000100000010011101000101010000000110010001000111000100000011100111000010100110001111011010110111111111110"
"704204","0000000000000000000000000100000000000000010000000100000000000000110000010001000000000010111000010110000110111001001100001010011110110101101110101110110111101011111110"
"704205","0000000000000000000000000000000000010000000000000000000000000000000000000000000010100001000000010000000010000000000000000000000000000000100000000000000101000001011110"
"704206","0000000000000000000000000000000000000000000000000000000000000000000000000010001001111100011000010001000000010010010101001100000110000000110001000011011010110101100010"
"704207","0000000000000010000000000000000000000000000000000000000000000000000000000000000000000000100000000000000001001000010000000010010000000001010100000100100011101011000100"
"704208","0000000000000000000000000000000000000100000000000000000000000000100000010000100100010010000010001100001011100000100000011000111000001110100001111000111100011111111110"
"704214","0000000000000000000000000000000000000000010000000000000000000000000000000010001001001110001000000101000100100010000001011100100010000100110001001011001010010100111010"
"704216","0000000000000000000000000000000000000000000000000000000000000000010000010000000000000000000000010000000010010001101101000010111110010001000110111110110101001011011110"
"704219","0000000000000000000000000000000110001000001000000010001001111001001010001000100010010011100001001000011001100101000010000001000001100101000001000101001001010110111110"
"704220","0000000000000000000000000000000000000000010000000000010000000000100000010000000101000000110000001100000111101001000000001010110000111110111101011100011111111110111110"
"704221","0000000000000000000000000000000000000000000000000000100000000000000000000000000001000000000000001001000100000010000000000010100000101010001000011010011011111110111110"
"704234","0000000000000000000000000000000000000000000000000000000000100001000000000000000010000001000010000000000000000000100000000000001000000000001000110000110100001001011110"
"704261","0000000000000000000000010000000000000000100000001001000100000010000001100000000100001100000001000001010000010010010100100101100011001010010001001011000010110111111110"
"704271","0000000000000000100000000000000000000000010000000000000000000100000000000000000000000010000000000000000000100000000000000000100000000100000000011000010000000000011010"
"704272","0000000000000000000000000000000000000000000000000000000000100001000000000000000010000011000000000000001000100000000000000000000000000100000000010000010000000000011010"
"704274","0000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000001000100000000000000000000000000100000000000000000010100000011010"
"704276","0000000000000000000000000000000000010100000010000000000010000000100000000001100110011001010000000111000001011100000110011110001100011011110001111111111011111111111110"
"704279","0000000000000000000000001000000110000000000000000010001001111001101010001000100110010001000001001100010001000001000010011001100001101011100001001001001000010111111110"
"704286","0000000000000000000000000000000000000000000000000000000000000100000000000010001000001100000100000101000000010110100111011100001010001010111001101011000111011111111110"
"704288","0000000000000000000000000000000000000000000000000000000000000100000000010010001000001100101010101101000100001010100001011100111110011010111111111111110110111111111110"
"704290","0000000000000000000000000000000000000000000000000000000000000000000000000000000000001100000100100001000000000100110110000110011000011011010011100101101111111111111110"
"704291","0000000000000000000000000000000000000100000000000000000000000000000000000000110100111000001100011101000010000100000010111100101000001010100001111001001011010100111110"
"704295","0000000000000000000000000000000000100011000100011110001001111001001000001001010010001101000000000011010001000001010100100101100001001011010111011101110010110111111111"
"704296","0000000000000000000000000000000000000000000000000000000000000100000000000000000001000100001000000101000100000010010001001000000010000000110000001010001010100101111010"
"704297","0000000000000000000000000000000110010000000000000000000000000000101010000000000010100011000101010000001010100100100010011001001000000100100000100000001001010000111110"
"704298","0000000000000000000000000010000000001100010000000000100010000100100000010010100101111010110100011100000001101100100010011100001000111110101101110101011111111110111110"
"704303","0000000000000000000000000000000000000000000000000000000000000100000000000010001001001110001000000101001100100010000001011100000010001110110001011011011010010100111010"
"704304","0000000000000000000000000000000000000000000000000000010000000000000000010000000000000000000000000000000000001000110000000010011000100000001100110100010111101011011110"
"704305","0000000000000000000000000000000110000000000000000010001001111001001010011000000010010001100011000000010001000001100010000011011001100001001100110101111101011011111110"
"704306","0000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000010010000000010011001111101000000011110010000000010111010110110101011011110"
"704307","0000000000000000000000000000000000000000000000000000100000000100010000000000000001000100011000001101000100000011000001001000001010110000111000101010001110001100111110"
"704308","0000000000000000000000000000000000000000000000000000100000000000000000000000000000010000100100001000000000000100100010000000001000100001001000110100011101011111111110"
"704309","0000000000000000000000000000000000000011000000010010001001111001001000001000000010000001000010000000010001000001000000000001010001000001000000000101100000001011011110"
"704311","0000000000000000000000000000000000000000000000000000000010000000000000000000000000000000100000000100000010000000000000010010101000000001100100101100000001001010011110"
"704335","0000000000000000000000000000000000000000000000000001000000000000000010000010001100011100010011000101000100000010001101011101000010001000110001000011001010010101101010"
"704337","0000000000000000000000000000000000000000000000000000000000000000000000000000000000001100000000000001001001100100010110000100000000000100010000000001100011110101100100"
"704338","0000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000010000000000000000000100000000000011000000000000000100000000100001001111110"
"704339","0000000000000000000000000000000000000000000000000000000010000000000000000000000000100000000000010000000010001000000000000010001000000000100000110000000011001010011110"
"704341","0000000000000000000000000000000000000000000000000000000000000000100000000000000000000010000000000100001010100000000000001000100000000100100000001000000000010000111010"
"704342","0000000000000000000000000000000000000000000000000000000000000000000000000000000000000100100010000000000000011000001100000010010000010000000000000110100011101011000100"
"704343","0000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000100000000000001000000000001000100000000100001000111110"
"704345","0000000000000000000000000000000001000000000000000100000000000000000000000001000000000000000000000010000000010000011101000000000000000000000000000010100000100001000000"
"704348","0000000000000000000000000000000000001000010000000000000000000000100000000000100100000010110100001100000001101100110010011000011000000100100001110000011011111011111110"
"704349","0000000000000000010000000000000000001100001100010000110000000000000010000000111100110000100100111000010001000100000010111001011001101001101101100101011001011110100110"
"704350","0000000000000000000000000000000000000000000000000000010000000000010000000100000001000100011000110001000100011011001101000010010110110001011110000110111111101111111111"
"704352","0000000000000000001000000000000000000000000000000000000010000000000000000000000000000000100000000000000110001000100000000010101000010001101100111100000111101010011110"
"704354","0000000000000000000000000000000000010000000000100000000000000100000000000100111010101101000100010001100011000110000010111100000110001010110001000011101011010101111110"
"704361","0000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000001000100000000000000000000000000100000000000000100001000001000100"
"704364","0000000000000000000000000000000000000000000000000000000000000000000000000100001000001100000110100001000000000110000110000100000000011011000011000001100011110111111110"
"704368","0000000000000000000000000000110000000000000000000000000000000000000000010000000000000000000000000000010000000001000000000001100000000001000010011001110001000011011110"
"704370","0000000000000000000000000000000000000000000000000000000000000000000000000000000000000010100010000000001000100000100000000010011000000100000000110100110101001011011110"
"704371","0000000000000000000000000000000000000000000000000000000000000000000000000000001000001100001110101001000100000110010110000110010000011011010011010101111011111111111110"
"704372","0000000000000000000000000000000000000000000000000000000010000000000000010000000001000100011000101101001100001010110000011000011110110100110000111110011110101111111111"
"704380","0000000000000000000000000000000001000000000000000100000000000000000000000001000001000000000000000010000100001000001100000000000000010000001000000010000010101001000100"
"704382","0000000000000001000001000000000000000000000000000000000010000000000000010000000000000100100010000000000000001000101100000000011000010000110000100110000110101011011110"
"704383","0000000000000000000000000000000000000000000000000000000000000000000000010000000000010000100110000010000000000100100010000000011000000000000110110100111101011111111110"
"704384","0000000000000000000000000000000000000000110000000000000000000100010000000000000000000010000000000000000000100001000001000000001010010100000000101010000101000000111110"
"704385","0000000000000000000000000000000000000000000000000000000010000000000000000000000000000000100000000100000010001000110000010010111000100001101100111100010111101011011110"
"704386","0000000000000000000000000000000000000100010000000000000000000000100000000010101100111010000000010101001010100000000000011100100000001110100001011001011010110100111010"
"704387","0000000000000000000000000000000000000000000000000000000010000000000000010010001001101100001100110101000100000110000011011100000010000000110001000011001111010110111110"
"704388","0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000110100000000000100000110111010000000001000111011001000110110111101111111111110"
"704389","0000000000000000000000010000000000000000010000001000000100000010000001100000000000010000000001000000010001100001000000100101000001001110000001010001011000010110111110"
"704390","0000000000000000000000000000000000000000000000000000100000000100010000000000000001000110011000001101001100100011000001001000001010110100111000101010001110001100111110"
"704391","0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100110001000000000000100100010000010011000001011000110110100111101011111111110"
"704409","0000000000000000000000000000000001000000000000000100010000000000000000010001000001000000110000000010000100011000000000000010010000110000011100000100000111101011000100"
"704410","0000000000000000000000000000000000000000000000000000000000000000010000000000000000000000100000000000000000011001011001000010010110000001010110000110100011101011000100"
"704412","0000000000000000000000000000000000000000000000000000000000000100000000000010000000101000010100010001000010000100010010001110101000001011101000111101010011111111111110"
"704414","0000000000000000000000000000000000000000000000000000000000000000000000000010000000101100000100110001000000011110010011001110011110010001110000100111010011111111100110"
"704415","0000000000000000000000000000000000000000000000000010001001111001001000001000000010000001100010000000010000000001110000000011011001010001000110110101110111101011011110"
"704429","0000000000000000000000000000000000000000000001000000000000000000000000000000000000000010000000000000000000100000100000000000001000000100001000110000010100001000011110"
"704431","0000000000000000000000000010000000000000000000000000000000000000000000010000000000000110110100001000000100101110000011000010110110111111011101011110011011111110111110"
"704435","0000000000000000001000000000000000000000000000000000000010000000000000000000000000000010100100101000001010100100100010011000101000000110100000111000001101011110111110"
"704437","0000000000000000000000001000000000000100000000000001110010000100100000010010101101111000111111111100000011001100000010011101001000111010101101100101011111111111111110"
"704439","0000000000000000000000000000000110000000000000000010001001111001001010001000000010010001100011000000010001000001100010000011011001000001000100110101111101011011111110"
"704440","0000000000000000000000000000000000000000000000000000000000000000000000000000000001000000111100001001000100010110011111000010010110110001001110000110101111111111100100"
"704448","0000000000000000000000000000000000000000000000000000000000000000000000000000000101001100001100000101000100000110010011001100000110011010110001001011001011110101111110"
"704451","0000000000000000000000000000000000000000000000000000000000000000000000010010001000001100000110100101000000001110111011011100111110010001110111111111110111111111111110"
"704453","0000000000000000000000000000000000001000010000000000100010000100100000010010100101101010110100011100000001101100100010011100001000111101101101110101011111111111111110"
"704455","0000000000000000000000000000000000000000000000000000000000000000000000000000001000011100001110100001000000000110111111000100011110000000010011100011101111111111111110"
"704458","0000000000000000000000000000000000001000000000000000000000000100100000000010101101101110001000010101001111100110100011011100001010101100110001111011011011010100111110"
"704459","0000000000000000000000000000000110010000000000100011001001111001111010001100101110110001000001011000010001000001000010011001000001101011100011000001101000010111111110"
"704462","0000000000000000000000100000000000001000000000000000000000000100100000000010101100101110001000010101001011101110110011011110011110001101110001111111011011111111111110"
"704468","0000000000000000000000001000000110100000000100001010001001111001101000011000100110000101000011001100010001001001101110011001111001011011110101101111000110111111111111"
"704475","0000000000000000000000000000000000000000000000000000000000000000010000000100000000000000000000010000000010010001001100000010011110010000000010100010110101001011001110"
"704476","0000000000000000000000000000000000001100000000000000000000000000100000000010101100101000100110111101000011010110111111011100001110000001100011110011110011110111111110"
"704477","0000000000000000000000000000000000000000000000000000000000000000000000000000000000001100000000000101000010000010000001001100000010000000110000001011000010000100101010"
"704501","0000000000000000000000000000000000000000000000000000000000000000000000000000000000010010000100000000001000100100000010000000000000000100000000010000011001010100111110"
"704503","0000000000000010000000000000000000000000000000000000010000000000000000010000001001000101011110100001000101011110111111000010011100100001010111110110111111111111111110"
"704505","0000000000000000000000000000000000000000010001000000000000000000000000000000000000000010000000000000000000100000000000000000000000000100000000010000010010100000011010"
